date,time,location,datetime,latitude,longitude
2024-12-29,16:54,Siang Kuang Ave,2024-12-29T16:54:00,1.3302071,103.8737736
2024-12-29,16:52,Junction of Sunset Dr and Sunset Ter,2024-12-29T16:52:00,,
2024-12-29,16:50,Junction of Sunset Dr and Sunset Way Rd,2024-12-29T16:50:00,,
2024-12-29,16:50,Hillcrest Rd (Watten Rise to Dunearn Rd),2024-12-29T16:50:00,,
2024-12-29,16:50,Upp Paya Lebar Service Rd (Lim Teck Boo Rd to Rochdale Rd),2024-12-29T16:50:00,,
2024-12-29,16:50,Jln Lokam (near Upp Paya Lebar Rd),2024-12-29T16:50:00,,
2024-12-29,16:50,Thrift Dr (near Jln Usaha),2024-12-29T16:50:00,,
2024-12-29,16:49,Craig Rd (Duxton Rd to TG Pagar Rd),2024-12-29T16:49:00,,
2024-12-29,16:48,Junction of Bishan St 21 and Jln Pemimpin,2024-12-29T16:48:00,,
2024-12-29,16:48,Upp Hokkien St,2024-12-29T16:48:00,,
2024-12-29,16:47,Bt Timah Rd (Wilby Rd to Blackmore Dr),2024-12-29T16:47:00,,
2024-12-29,16:47,Dunearn Rd (Yarwood Ave to Binjai Pk),2024-12-29T16:47:00,,
2024-12-29,16:45,Junction of Lor Kismis and Toh Tuck Rise,2024-12-29T16:45:00,,
2024-12-29,16:45,Eng Kong Pl (Greenridge Cres to Eng Kong Gdn),2024-12-29T16:45:00,,
2024-12-29,16:45,Junction of Toa Payoh Lor 1 and Toa Payoh Lor 2,2024-12-29T16:45:00,,
2024-12-29,16:43,Lor Gambir,2024-12-29T16:43:00,,
2024-12-29,16:39,"Choa Chu Kang Ave 1 (towards Choa Chu Kang Way, Choa Chu kang Dr to Teck Whye Lane)",2024-12-29T16:39:00,,
2024-12-16,15:18,Bedok North Ave 3 (Bedok Reservoir MRT),2024-12-16T15:18:00,,
2024-12-16,15:18,Jln Pokok Serunai,2024-12-16T15:18:00,1.3136136,103.9365203
2024-12-16,15:17,Upp Paya Lebar Service Rd (Lim Teck Boo Rd to Rochdale Rd),2024-12-16T15:17:00,,
2024-12-16,15:17,Jln Lokam (near Upp Paya Lebar Rd),2024-12-16T15:17:00,,
2024-12-16,15:17,Thrift Dr (near Jln Usaha),2024-12-16T15:17:00,,
2024-12-16,15:11,Lor Gambir,2024-12-16T15:11:00,,
2024-12-11,19:12,Upp Paya Lebar Service Rd (Lim Teck Boo Rd to Rochdale Rd),2024-12-11T19:12:00,,
2024-12-11,19:12,Jln Lokam (near Upp Paya Lebar Rd),2024-12-11T19:12:00,,
2024-12-11,19:12,Thrift Dr (near Jln Usaha),2024-12-11T19:12:00,,
2024-12-03,19:32,Upp East Coast Rd (near Parbury Ave),2024-12-03T19:32:00,,
2024-12-03,19:23,Jln Pokok Serunai,2024-12-03T19:23:00,1.3136136,103.9365203
2024-12-03,19:22,Junction of Swan Lake Ave and Jln Terang Bulan,2024-12-03T19:22:00,,
2024-12-03,19:09,Lor Gambir,2024-12-03T19:09:00,,
2024-11-29,06:30,Bt Timah Rd (Wilby Rd to Blackmore Dr),2024-11-29T06:30:00,,
2024-11-29,06:27,Dunearn Rd (Yarwood Ave to Binjai Pk),2024-11-29T06:27:00,,
2024-11-29,06:13,Junction of Neo Pee Teck Lane and Pasir Panjang Rd,2024-11-29T06:13:00,,
2024-11-29,06:03,Jln Boon Lay (Enterprise Rd to International Rd),2024-11-29T06:03:00,,
2024-11-24,16:43,Jln Boon Lay (Enterprise Rd to International Rd),2024-11-24T16:43:00,,
2024-11-23,18:42,Lor Gambir,2024-11-23T18:42:00,,
2024-11-22,15:22,Jln Nipah (cul-de-sac),2024-11-22T15:22:00,,
2024-11-22,15:22,Jln Seaview,2024-11-22T15:22:00,1.2993119,103.8954604
2024-11-22,15:22,Junction of Mtbatten Rd and TG Katong Rd South,2024-11-22T15:22:00,,
2024-11-22,15:16,"Choa Chu Kang Ave 1 (towards Choa Chu Kang Way, Choa Chu kang Dr to Teck Whye Lane)",2024-11-22T15:16:00,,
2024-11-22,15:14,Aljunied Rd under PIE Flyover,2024-11-22T15:14:00,,
2024-11-22,15:12,Junction of Upp Changi Rd and Bedok Ave 4,2024-11-22T15:12:00,,
2024-11-22,15:04,Serangoon Ave 2 (Boundary Rd to Serangoon Ave 3),2024-11-22T15:04:00,,
2024-11-22,15:00,Macpherson Rd OD (Siang Kuang Ave),2024-11-22T15:00:00,,
2024-11-22,14:58,Upp Paya Lebar Service Rd (Lim Teck Boo Rd to Rochdale Rd),2024-11-22T14:58:00,,
2024-11-22,14:58,Lor Gambir,2024-11-22T14:58:00,,
2024-11-22,14:58,Serangoon Ave 2 (Boundary Rd to Serangoon Ave 3),2024-11-22T14:58:00,,
2024-11-22,14:57,Colchester Grove,2024-11-22T14:57:00,1.3586498,103.8674903
2024-11-22,14:57,Junction of Macpherson Rd and Playfair Rd,2024-11-22T14:57:00,,
2024-11-22,14:55,Jln Chengkek,2024-11-22T14:55:00,1.3308149,103.8845592
2024-11-22,14:54,Jln Gembira,2024-11-22T14:54:00,1.3323482,103.8808753
2024-11-22,14:54,Wan Tho Ave (Pheng Geck Ave),2024-11-22T14:54:00,,
2024-11-22,14:53,Mt Vernon Rd (near Bartley Rd),2024-11-22T14:53:00,,
2024-11-22,14:52,Puay Hee Ave (near Siak Kew Ave),2024-11-22T14:52:00,,
2024-11-22,14:52,Siang Kuang Ave,2024-11-22T14:52:00,1.3302071,103.8737736
2024-11-22,14:50,Happy Ave North,2024-11-22T14:50:00,1.3312203,103.8818124
2024-11-22,14:48,Lor Ong Lye (near Lor Lew Lian),2024-11-22T14:48:00,,
2024-11-17,14:03,Jln Boon Lay (Enterprise Rd to International Rd),2024-11-17T14:03:00,,
2024-11-17,13:48,Tanjong Pagar Rd/Craig Rd,2024-11-17T13:48:00,1.278586,103.8421441
2024-11-17,13:45,Upp Hokkien St/South Bridge Rd,2024-11-17T13:45:00,,
2024-11-16,15:28,TPE (Punggol West Flyover),2024-11-16T15:28:00,,
2024-11-16,15:13,Junction of Neo Pee Teck Lane and Pasir Panjang Rd,2024-11-16T15:13:00,,
2024-11-16,15:08,Jln Boon Lay (Enterprise Rd to International Rd),2024-11-16T15:08:00,,
2024-11-16,15:04,Bt Timah Rd (Wilby Rd to Blackmore Dr),2024-11-16T15:04:00,,
2024-11-16,15:03,Junction of Sunset Dr and Sunset Way Rd,2024-11-16T15:03:00,,
2024-11-16,15:02,Junction of Sunset Dr and Sunset Ter,2024-11-16T15:02:00,,
2024-11-16,15:00,Junction of Lor Kismis and Toh Tuck Rise,2024-11-16T15:00:00,,
2024-11-16,14:59,Eng Kong Pl (Greenridge Cres to Eng Kong Gdn),2024-11-16T14:59:00,,
2024-11-16,14:58,"KJE Slip Rd (KJE to Woodlands Rd, towards Senja Way)",2024-11-16T14:58:00,,
2024-11-16,14:57,Dunearn Rd (Yarwood Ave to Binjai Pk),2024-11-16T14:57:00,,
2024-11-10,07:56,Upp Paya Lebar Service Rd (Lim Teck Boo Rd to Rochdale Rd),2024-11-10T07:56:00,,
2024-11-10,07:56,Jln Lokam (near Upp Paya Lebar Rd),2024-11-10T07:56:00,,
2024-11-10,07:56,Thrift Dr (near Jln Usaha),2024-11-10T07:56:00,,
2024-11-10,07:52,Lor Gambir,2024-11-10T07:52:00,,
2024-11-10,07:35,Craig Rd (Duxton Rd to TG Pagar Rd),2024-11-10T07:35:00,,
2024-11-04,08:05,Lor Gambir,2024-11-04T08:05:00,,
2024-11-04,08:05,Upp Paya Lebar Service Rd (Lim Teck Boo Rd to Rochdale Rd),2024-11-04T08:05:00,,
2024-11-04,08:05,Jln Lokam (near Upp Paya Lebar Rd),2024-11-04T08:05:00,,
2024-11-04,08:05,Thrift Dr (near Jln Usaha),2024-11-04T08:05:00,,
2024-11-01,14:08,Lor Gambir,2024-11-01T14:08:00,,
2024-10-19,13:40,Lor Gambir,2024-10-19T13:40:00,,
2024-10-14,09:12,Sunset Way (Sunset Dr to Sunset Walk),2024-10-14T09:12:00,,
2024-10-14,09:12,Albert Winsemius Lane,2024-10-14T09:12:00,1.3205155,103.7696878
2024-10-14,09:12,Sunset Lane,2024-10-14T09:12:00,1.3215607,103.7701439
2024-10-14,09:11,Junction of Bedok garden and Bedok Rd,2024-10-14T09:11:00,,
2024-10-14,09:10,Jln Nipah (cul-de-sac),2024-10-14T09:10:00,,
2024-10-14,09:08,Sunset Way (Sunset Dr to Sunset Walk),2024-10-14T09:08:00,,
2024-10-14,09:08,Albert Winsemius Lane,2024-10-14T09:08:00,1.3205155,103.7696878
2024-10-14,09:08,Sunset Lane,2024-10-14T09:08:00,1.3215607,103.7701439
2024-10-14,09:07,Junction of Upp Changi Rd and Bedok Ave 4,2024-10-14T09:07:00,,
2024-10-14,09:06,Junction of Upp Changi Rd and Bedok North Ave 4,2024-10-14T09:06:00,,
2024-10-14,09:04,Jln Seaview,2024-10-14T09:04:00,1.3010371,103.8965577
2024-10-14,09:04,Junction of Mtbatten Rd and TG Katong Rd South,2024-10-14T09:04:00,,
2024-10-14,09:02,Lor H Telok Kurau (cul-de-sac),2024-10-14T09:02:00,,
2024-10-14,09:02,Joo Chiat Ave(cul-de-sac),2024-10-14T09:02:00,,
2024-10-14,08:58,Junction of Clementi Rd and Ulu Pandan Rd,2024-10-14T08:58:00,,
2024-10-14,08:58,Junction of Bedok South Rd and Bedok South Ave 1 (towards Upp East Coast Rd),2024-10-14T08:58:00,,
2024-10-14,08:51,Junction of Neo Pee Teck Lane and Pasir Panjang Rd,2024-10-14T08:51:00,,
2024-10-14,08:40,Jln Pokok Serunai,2024-10-14T08:40:00,1.3136136,103.9365203
2024-10-14,08:30,Jln Boon Lay (Enterprise Rd to International Rd),2024-10-14T08:30:00,,
2024-10-14,08:10,Bt Timah Rd (Wilby Rd to Blackmore Dr),2024-10-14T08:10:00,,
2024-10-14,08:10,Junction of Sunset Dr and Sunset Ter,2024-10-14T08:10:00,,
2024-10-14,08:08,Junction of Sunset Dr and Sunset Way Rd,2024-10-14T08:08:00,,
2024-10-14,08:08,Dunearn Rd (Yarwood Ave to Binjai Pk),2024-10-14T08:08:00,,
2024-10-14,07:59,Eng Kong Pl (Greenridge Cres to Eng Kong Gdn),2024-10-14T07:59:00,,
2024-10-14,07:58,Junction of Lor Kismis and Toh Tuck Rise,2024-10-14T07:58:00,,
2024-10-14,07:43,Jln Boon Lay (Enterprise Rd to International Rd),2024-10-14T07:43:00,,
2024-10-14,07:42,Junction of Yuan Ching Rd and Yung Kuang Rd,2024-10-14T07:42:00,,
2024-10-06,04:34,Craig Rd (Duxton Rd to TG Pagar Rd),2024-10-06T04:34:00,,
2024-09-30,17:38,Lor Gambir,2024-09-30T17:38:00,,
2024-09-30,17:23,TPE (Punggol West Flyover),2024-09-30T17:23:00,,
2024-09-25,12:15,Yew Siang Rd,2024-09-25T12:15:00,1.2771204,103.7925558
2024-09-25,11:35,Jln Boon Lay (Enterprise Rd to International Rd),2024-09-25T11:35:00,,
2024-09-24,13:45,Junction of Yishun Ave 2 and Yishun Ave 5,2024-09-24T13:45:00,,
2024-09-23,15:29,Jln Boon Lay (Enterprise Rd to International Rd),2024-09-23T15:29:00,,
2024-09-17,19:31,Lor Gambir,2024-09-17T19:31:00,,
2024-08-24,16:55,Junction of Sunset Way and Sunset Walk,2024-08-24T16:55:00,,
2024-08-24,15:17,Junction of Sunset Way and Sunset Walk,2024-08-24T15:17:00,,
2024-08-23,21:00,Jln Boon Lay (Enterprise Rd to International Rd),2024-08-23T21:00:00,,
2024-08-04,14:37,Jln Boon Lay (Enterprise Rd to International Rd),2024-08-04T14:37:00,,
2024-07-31,17:44,Craig Rd (Duxton Rd to TG Pagar Rd),2024-07-31T17:44:00,,
2024-07-12,15:42,Langsat Rd (Everitt Rd North to Lor 106 Changi),2024-07-12T15:42:00,,
2024-07-12,15:42,Lor 105 Changi,2024-07-12T15:42:00,1.3901426,103.9882998
2024-07-12,15:38,Aljunied Rd under PIE Flyover,2024-07-12T15:38:00,,
2024-07-12,15:36,Upp Paya Lebar Service Rd (Lim Teck Boo Rd to Rochdale Rd),2024-07-12T15:36:00,,
2024-07-12,15:36,Jln Lokam (near Upp Paya Lebar Rd),2024-07-12T15:36:00,,
2024-07-12,15:36,Thrift Dr (near Jln Usaha),2024-07-12T15:36:00,,
2024-07-07,07:08,Junction of Wan Lee Rd and Enterprise Rd,2024-07-07T07:08:00,,
2024-07-07,07:03,Jln Boon Lay (Enterprise Rd to International Rd),2024-07-07T07:03:00,,
2024-06-29,09:08,Craig Rd (Duxton Rd to TG Pagar Rd),2024-06-29T09:08:00,,
2024-06-22,03:48,Mackenzie Rd (near Bt Timah Rd),2024-06-22T03:48:00,,
2024-06-22,02:56,Jln Boon Lay (Enterprise Rd to International Rd),2024-06-22T02:56:00,,
2024-06-21,03:39,Lor Gambir,2024-06-21T03:39:00,,
2024-06-16,04:06,Jln Pokok Serunai,2024-06-16T04:06:00,1.3136136,103.9365203
2024-06-16,03:38,Mackenzie Rd (near Bt Timah Rd),2024-06-16T03:38:00,,
2024-06-16,03:31,Craig Rd (Duxton Rd to TG Pagar Rd),2024-06-16T03:31:00,,
2024-06-16,01:30,Jln Pokok Serunai,2024-06-16T01:30:00,1.3136136,103.9365203
2024-05-14,18:02,Craig Rd (Duxton Rd to TG Pagar Rd),2024-05-14T18:02:00,,
2024-05-14,17:41,Junction of Toa Payoh Lor 1 and Toa Payoh Lor 2,2024-05-14T17:41:00,,
2024-05-14,17:40,Upp Paya Lebar Service Rd (Lim Teck Boo Rd to Rochdale Rd),2024-05-14T17:40:00,,
2024-05-14,17:40,Jln Lokam (near Upp Paya Lebar Rd),2024-05-14T17:40:00,,
2024-05-14,17:40,Thrift Dr (near Jln Usaha),2024-05-14T17:40:00,,
2024-05-14,17:37,Lor Gambir,2024-05-14T17:37:00,,
2024-05-14,17:30,Jln Boon Lay (Enterprise Rd to International Rd),2024-05-14T17:30:00,,
2024-05-04,13:45,Simei Ave (towards PIE) after Tampines Ave 5,2024-05-04T13:45:00,,
2024-05-04,10:37,Jln Boon Lay (Enterprise Rd to International Rd),2024-05-04T10:37:00,,
2024-05-04,10:30,Junction of Wan Lee Rd and Enterprise Rd,2024-05-04T10:30:00,,
2024-05-04,08:17,Jln Pokok Serunai,2024-05-04T08:17:00,1.3136136,103.9365203
2024-05-04,08:10,TPE (Punggol West Flyover),2024-05-04T08:10:00,,
2024-05-04,07:54,Upp Paya Lebar Service Rd (Lim Teck Boo Rd to Rochdale Rd),2024-05-04T07:54:00,,
2024-05-04,07:54,Jln Lokam (near Upp Paya Lebar Rd),2024-05-04T07:54:00,,
2024-05-04,07:54,Thrift Dr (near Jln Usaha),2024-05-04T07:54:00,,
2024-05-04,07:06,Craig Rd (Duxton Rd to TG Pagar Rd),2024-05-04T07:06:00,,
2024-05-04,06:54,Jln Seaview,2024-05-04T06:54:00,1.2993119,103.8954604
2024-05-04,06:54,Junction of Mtbatten Rd and TG Katong Rd South,2024-05-04T06:54:00,,
2024-04-21,15:35,Jln Boon Lay (Enterprise Rd to International Rd),2024-04-21T15:35:00,,
2024-04-20,17:13,Craig Rd (Duxton Rd to TG Pagar Rd),2024-04-20T17:13:00,,
2024-04-14,13:45,Jalan Boonlay (Bus stop B21339),2024-04-14T13:45:00,,
2024-04-12,09:11,Upper Paya Lebar Rd,2024-04-12T09:11:00,1.3397968,103.8861868
2024-04-12,09:10,Lor Gambir (Le Gambir),2024-04-12T09:10:00,,
2024-04-12,09:03,TPE Slip Rd (Punggol West Flyover),2024-04-12T09:03:00,,
2024-04-08,15:06,Jalan Boonlay (Bus stop B21339),2024-04-08T15:06:00,,
2024-04-08,14:50,Lor Gambir (Le Gambir),2024-04-08T14:50:00,,
2024-04-04,16:02,Aljunied Rd (Hong Leong NKF),2024-04-04T16:02:00,,
2024-04-04,15:54,Puay Hee Ave/ Siak Kew Ave,2024-04-04T15:54:00,,
2024-04-04,15:22,Upper Paya Lebar Rd,2024-04-04T15:22:00,1.3397968,103.8861868
2024-04-04,15:16,Lor Gambir (Le Gambir),2024-04-04T15:16:00,,
2024-03-31,18:36,Woodlands Rd / KJE,2024-03-31T18:36:00,,
2024-03-31,18:29,Choa Chu Kang Avenue 1/ Teck Wye Lane,2024-03-31T18:29:00,,
2024-03-19,16:58,Lor Gambir (Le Gambir),2024-03-19T16:58:00,,
2024-03-19,16:51,Lor Gambir (Le Gambir),2024-03-19T16:51:00,,
2024-03-07,14:35,TPE Slip Rd (Punggol West Flyover),2024-03-07T14:35:00,,
2024-03-05,15:03,Lor Gambir (Le Gambir),2024-03-05T15:03:00,,
2024-03-05,14:28,Lor Gambir (Le Gambir),2024-03-05T14:28:00,,
2024-03-05,14:15,Lor 2 Toa Payoh (Braddell MRT),2024-03-05T14:15:00,,
2024-03-05,00:20,TPE Slip Rd (Punggol West Flyover),2024-03-05T00:20:00,,
2024-03-04,23:11,Tanjong Pagar Rd/Craig Rd,2024-03-04T23:11:00,1.278586,103.8421441
2024-02-13,13:29,Jln Seaview,2024-02-13T13:29:00,1.2993119,103.8954604
2024-02-13,13:02,Bayshore Park OD (Jln Pokok Serunai),2024-02-13T13:02:00,,
2024-02-13,12:57,Langsat Rd/ Lor 105 Changi,2024-02-13T12:57:00,,
2024-02-12,12:29,Jurong Industrial Estate OD (Jln Buroh),2024-02-12T12:29:00,,
2024-02-12,12:11,Bedok Canal (Upper Changi Rd),2024-02-12T12:11:00,,
2024-02-12,12:03,Siglap Canal (Frankel Walk),2024-02-12T12:03:00,,
2024-02-12,12:01,Bedok Canal(Upper Changi Rd East),2024-02-12T12:01:00,,
2024-02-12,11:56,Jln Nipah,2024-02-12T11:56:00,1.3261369,103.9530576
2024-02-12,11:49,Bedok Canal 3rd SD (Bedok Rd),2024-02-12T11:49:00,,
2024-02-11,12:07,Jurong Industrial Estate OD (Jln Buroh),2024-02-11T12:07:00,,
2024-02-06,17:52,TPE Slip Rd (Punggol West Flyover),2024-02-06T17:52:00,,
2024-02-06,17:39,Bayshore Park OD (Jln Pokok Serunai),2024-02-06T17:39:00,,
2024-02-06,17:15,Upper Paya Lebar Rd,2024-02-06T17:15:00,1.3397968,103.8861868
2024-02-06,17:01,Lor Gambir (Le Gambir),2024-02-06T17:01:00,,
2024-02-03,18:14,Sunset Dr/Sunset way,2024-02-03T18:14:00,,
2024-02-03,18:13,Bukit Timah Rd/ Blackmore Dr,2024-02-03T18:13:00,,
2024-02-03,18:09,Bt Timah Canal (Sime Darby Centre),2024-02-03T18:09:00,,
2024-02-03,18:05,Bt Timah Canal (Rifle Range Rd),2024-02-03T18:05:00,,
2024-02-03,18:04,Dunearn Rd (Sime Darby Centre),2024-02-03T18:04:00,,
2024-02-03,18:03,Sunset Dr/Sunset way,2024-02-03T18:03:00,,
2024-02-03,18:02,Yuan Ching Rd / Yung Kuang Rd,2024-02-03T18:02:00,,
2024-02-03,17:58,Jalan Boonlay (Bus stop B21339),2024-02-03T17:58:00,,
2024-02-03,17:56,Sg Tengah/Sg Tengah Agrotechnology Pk,2024-02-03T17:56:00,,
2024-02-03,17:53,Lor Kismis (Unit 2),2024-02-03T17:53:00,,
2024-02-03,17:53,Eng Kong Place (Unit 65),2024-02-03T17:53:00,1.3348802,103.7672269
2024-01-25,14:21,Bayshore Park OD (Jln Pokok Serunai),2024-01-25T14:21:00,,
2024-01-24,22:14,Fort Rd / Katong Pk,2024-01-24T22:14:00,1.2968314,103.8852705
2024-01-24,21:44,Lor Gambir (Le Gambir),2024-01-24T21:44:00,,
2024-01-24,21:09,Tanjong Pagar Rd/Craig Rd,2024-01-24T21:09:00,1.278586,103.8421441
2024-01-24,20:54,Tanjong Pagar Rd/Craig Rd,2024-01-24T20:54:00,1.278586,103.8421441
2024-01-24,20:30,Dunearn Rd / Hillcrest Rd,2024-01-24T20:30:00,1.3291173,103.8034377
2024-01-24,20:25,Puay Hee Ave/ Siak Kew Ave,2024-01-24T20:25:00,,
2024-01-24,20:24,Aljunied Rd (Hong Leong NKF),2024-01-24T20:24:00,,
2024-01-24,20:24,Happy Ave North /Happy Ave Ctrl,2024-01-24T20:24:00,,
2024-01-24,20:14,Lor Gambir (Le Gambir),2024-01-24T20:14:00,,
